"Costeo","Nombre","Cliente","Estado","Nombre del Comercial","Margen Ponderado","Creado en","Acciones","Id."
"COS-0012964","PASHMINAS","TALMA COLOMBIA","Creado","Frank Sanchez",37.74,"21/04/2026 15:31","Solicitar Revisión / Aprobado","83762114"
"COS-0012963","PRENDAS LABORATORIO MEDIFARMA  ABRIL 2026","MOLT","Generada Cotización","Xiomara Aranda Perea",23.08,"21/04/2026 11:38","Duplicar Costeo","83755786"
"COS-0012962","PRENDAS  AGROPRECUARIA GRUPO 20 ABRIL 2026","MOLT","Generada Cotización","Xiomara Aranda Perea",22.31,"21/04/2026 10:57","Duplicar Costeo","83753986"
"COS-0012961","SET DE TALLAS DOTACION NUTRESA PANAMÁ 2026","GRUPO NUTRESA","Creado","Simón Román",10.71,"20/04/2026 15:36","Solicitar Revisión / Aprobado","83694558"
"COS-0012960","CHAQUETAS ALQUILANDO ABRIL 2026","MOLT","Generada Cotización","Xiomara Aranda Perea",37.73,"17/04/2026 15:21","Duplicar Costeo","83563363"
"COS-0012959","Muestras Papa Johns Panama Abril  2026","Molt Panamá (PA)","Generada Cotización","Xiomara Aranda Perea",23.08,"17/04/2026 12:10","Duplicar Costeo","83557637"
"COS-0012958","JH pedido 1-2026","Joe Hawkins","Generada Cotización","Simón Román",40.96,"17/04/2026 8:39","Duplicar Costeo","83541478"
"COS-0012957","PANTALON CAMUFLADO BEIGE","Sodimac","Generada Cotización","Pilar Gómez",23.08,"16/04/2026 22:36","Duplicar Costeo","83506298"
"COS-0012957","3.  Suministro de dotación a nivel nacional (G4S Colombia) 2026","G4S","Generada Cotización","Pilar Gómez",33.33,"16/04/2026 22:34","Duplicar Costeo","83506013"
"COS-0012957","3.2  Suministro de dotación a nivel nacional (G4S Colombia) 2026","G4S","Creado","Pilar Gómez",33.33,"16/04/2026 22:34","Solicitar Revisión / Aprobado","83505959"
"COS-0012957","2.2  Suministro de dotación a nivel nacional (G4S Colombia) 2026","G4S","Creado","Pilar Gómez",33.33,"16/04/2026 22:34","Solicitar Revisión / Aprobado","83505943"
"COS-0012957","1.2  Suministro de dotación a nivel nacional (G4S Colombia) 2026","G4S","Creado","Pilar Gómez",33.33,"16/04/2026 22:23","Solicitar Revisión / Aprobado","83499228"
"COS-0012956","Glidden  (PA)","Molt Panamá (PA)","Creado","Simón Román",24.11,"16/04/2026 19:01","Solicitar Revisión / Aprobado","83496547"
"COS-0012955","Samsung 2026 (PA)","Molt Panamá (PA)","Creado","Simón Román",31.03,"16/04/2026 18:58","Solicitar Revisión / Aprobado","83496479"
